time, Quad1.PosFollowErr, Quad2.PosFollowErr, Quad3.PosFollowErr
2.549998,0.026144,0.004590,0.052063
2.554997,0.026091,0.004468,0.051974
2.559997,0.026054,0.004383,0.051913
2.564996,0.025995,0.004250,0.051819
2.569996,0.025954,0.004158,0.051754
2.574996,0.025890,0.004017,0.051657
2.579995,0.025846,0.003920,0.051591
2.584995,0.025779,0.003771,0.051491
2.589995,0.025732,0.003670,0.051424
2.594994,0.025659,0.003515,0.051322
